山西移动,#genre#
宁夏卫视,http://b.xubo.myds.me:9999/rtp/239.93.0.247:5140
西藏卫视,http://b.xubo.myds.me:9999/rtp/239.93.0.175:5140
新疆卫视,http://b.xubo.myds.me:9999/rtp/239.93.0.194:5140
兵团卫视,http://b.xubo.myds.me:9999/rtp/239.93.42.43:5140
厦门卫视,http://b.xubo.myds.me:9999/rtp/239.93.42.57:5140
三沙卫视,http://b.xubo.myds.me:9999/rtp/239.93.42.58:5140
延边卫视,http://b.xubo.myds.me:9999/rtp/239.93.0.249:5140
CHC影迷电影,http://b.xubo.myds.me:9999/udp/239.93.42.5:5140
CHC动作电影,http://b.xubo.myds.me:9999/udp/239.93.42.7:5140
CHC家庭影院,http://b.xubo.myds.me:9999/udp/239.93.42.6:5140
热门综艺,http://b.xubo.myds.me:9999/rtp/239.93.0.151:5140
华语影院,http://b.xubo.myds.me:9999/rtp/239.93.0.138:5140 
星光院线,http://b.xubo.myds.me:9999/rtp/239.93.0.139:5140 
全球大片,http://b.xubo.myds.me:9999/rtp/239.93.0.105:5140 
热门剧场,http://b.xubo.myds.me:9999/rtp/239.93.0.140:5140 
谍战剧场,http://b.xubo.myds.me:9999/rtp/239.93.0.95:5140 
爱怀旧高清,http://b.xubo.myds.me:9999/rtp/239.93.42.21:5140
爱喜剧高清,http://b.xubo.myds.me:9999/rtp/239.93.42.9:5140
爱奇谈高清,http://b.xubo.myds.me:9999/rtp/239.93.42.22:5140
爱科幻高清,http://b.xubo.myds.me:9999/rtp/239.93.42.10:5140
爱院线高清,http://b.xubo.myds.me:9999/rtp/239.93.42.11:5140
爱谍战高清,http://b.xubo.myds.me:9999/rtp/239.93.42.14:5140
爱经典高清,http://b.xubo.myds.me:9999/rtp/239.93.42.13:5140
爱悬疑高清,http://b.xubo.myds.me:9999/rtp/239.93.42.12:5140
爱青春高清,http://b.xubo.myds.me:9999/rtp/239.93.42.16:5140
爱幼教高清,http://b.xubo.myds.me:9999/rtp/239.93.42.17:5140
爱玩具高清,http://b.xubo.myds.me:9999/rtp/239.93.42.18:5140
爱动漫高清,http://b.xubo.myds.me:9999/rtp/239.93.42.23:5140
爱电竞高清,http://b.xubo.myds.me:9999/rtp/239.93.42.19:5140
爱赛车高清,http://b.xubo.myds.me:9999/rtp/239.93.42.20:5140


四川电信2,#genre#
CCTV1,http://dsm.ccb912.top:9998/rtp/239.93.0.58:5140
CCTV2,http://dsm.ccb912.top:9998/rtp/239.93.1.23:6000
CCTV3,http://dsm.ccb912.top:9998/rtp/239.93.0.109:5140
CCTV4,http://dsm.ccb912.top:9998/rtp/239.93.1.105:5140
CCTV5,http://dsm.ccb912.top:9998/rtp/239.93.42.37:5140
CCTV5+,http://dsm.ccb912.top:9998/rtp/239.93.1.36:8004
CCTV6,http://dsm.ccb912.top:9998/rtp/239.93.42.38:5140
CCTV7,http://dsm.ccb912.top:9998/rtp/239.93.1.67:5140
CCTV8,http://dsm.ccb912.top:9998/rtp/239.93.42.39:5140
CCTV9,http://dsm.ccb912.top:9998/rtp/239.93.1.24:5140
CCTV10,http://dsm.ccb912.top:9998/rtp/239.93.1.28:5140
CCTV11,http://dsm.ccb912.top:9998/rtp/239.93.0.102:5140
CCTV12,http://dsm.ccb912.top:9998/rtp/239.93.1.30:8124
CCTV13,http://dsm.ccb912.top:9998/rtp/239.93.0.66:5140
CCTV14,http://dsm.ccb912.top:9998/rtp/239.93.1.29:6000
CCTV15,http://dsm.ccb912.top:9998/rtp/239.93.0.103:5140
CCTV16,http://dsm.ccb912.top:9998/rtp/239.93.42.54:5140
CCTV17,http://dsm.ccb912.top:9998/rtp/239.93.0.92:5140
CCTV4K,http://dsm.ccb912.top:9998/rtp/239.93.42.42:5140
CETV-1,http://dsm.ccb912.top:9998/udp/239.93.1.111:5140
CETV-2,http://dsm.ccb912.top:9998/udp/239.93.0.113:5140
CETV-4,http://dsm.ccb912.top:9998/udp/239.93.0.50:5140
CETV-早期教育,http://dsm.ccb912.top:9998/udp/239.93.0.117:5140
江苏卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.89:5140
广西卫视,http://dsm.ccb912.top:9998/rtp/239.93.42.46:5140
四川卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.20:1235
湖南卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.88:5140
浙江卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.124:5140
东方卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.123:5140
北京卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.180:5140
天津卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.167:5140
辽宁卫视,http://dsm.ccb912.top:9998/rtp/239.93.1.108:5140
安徽卫视,http://dsm.ccb912.top:9998/rtp/239.93.1.106:5140
黑龙江卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.183:5140
广东卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.181:5140
深圳卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.182:5140
湖北卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.250:5140
吉林卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.248:5140
山东卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.168:5140
江西卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.134:5140
河南卫视,http://dsm.ccb912.top:9998/rtp/239.93.42.45:5140
河北卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.132:5140
甘肃卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.81:5140
重庆卫视,http://dsm.ccb912.top:9998/rtp/239.93.1.107:5140
东南卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.42:5140
云南卫视,http://dsm.ccb912.top:9998/rtp/239.93.1.174:5140
贵州卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.131:5140
海南卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.80:5140
陕西卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.143:5140
山西卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.6:5140
内蒙古卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.8:5140
青海卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.192:5140
宁夏卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.247:5140
西藏卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.175:5140
新疆卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.194:5140
兵团卫视,http://dsm.ccb912.top:9998/rtp/239.93.42.43:5140
厦门卫视,http://dsm.ccb912.top:9998/rtp/239.93.42.57:5140
三沙卫视,http://dsm.ccb912.top:9998/rtp/239.93.42.58:5140
延边卫视,http://dsm.ccb912.top:9998/rtp/239.93.0.249:5140
CHC影迷电影,http://dsm.ccb912.top:9998/udp/239.93.42.5:5140
CHC动作电影,http://dsm.ccb912.top:9998/udp/239.93.42.7:5140
CHC家庭影院,http://dsm.ccb912.top:9998/udp/239.93.42.6:5140
青春动漫,http://dsm.ccb912.top:9998/rtp/239.93.0.146:5140
热门综艺,http://dsm.ccb912.top:9998/rtp/239.93.0.151:5140
华语影院,http://dsm.ccb912.top:9998/rtp/239.93.0.138:5140 
星光院线,http://dsm.ccb912.top:9998/rtp/239.93.0.139:5140 
全球大片,http://dsm.ccb912.top:9998/rtp/239.93.0.105:5140 
热门剧场,http://dsm.ccb912.top:9998/rtp/239.93.0.140:5140 
谍战剧场,http://dsm.ccb912.top:9998/rtp/239.93.0.95:5140 
爱怀旧高清,http://dsm.ccb912.top:9998/rtp/239.93.42.21:5140
爱喜剧高清,http://dsm.ccb912.top:9998/rtp/239.93.42.9:5140
爱奇谈高清,http://dsm.ccb912.top:9998/rtp/239.93.42.22:5140
爱科幻高清,http://dsm.ccb912.top:9998/rtp/239.93.42.10:5140
爱院线高清,http://dsm.ccb912.top:9998/rtp/239.93.42.11:5140
爱谍战高清,http://dsm.ccb912.top:9998/rtp/239.93.42.14:5140
爱经典高清,http://dsm.ccb912.top:9998/rtp/239.93.42.13:5140
爱悬疑高清,http://dsm.ccb912.top:9998/rtp/239.93.42.12:5140
爱青春高清,http://dsm.ccb912.top:9998/rtp/239.93.42.16:5140
爱幼教高清,http://dsm.ccb912.top:9998/rtp/239.93.42.17:5140
爱玩具高清,http://dsm.ccb912.top:9998/rtp/239.93.42.18:5140
爱动漫高清,http://dsm.ccb912.top:9998/rtp/239.93.42.23:5140
爱电竞高清,http://dsm.ccb912.top:9998/rtp/239.93.42.19:5140
爱赛车高清,http://dsm.ccb912.top:9998/rtp/239.93.42.20:5140


四川电信3,#genre#
CCTV1,http://222.209.208.234:7088/rtp/239.93.0.58:5140
CCTV2,http://222.209.208.234:7088/rtp/239.93.1.23:6000
CCTV3,http://222.209.208.234:7088/rtp/239.93.0.109:5140
CCTV4,http://222.209.208.234:7088/rtp/239.93.1.105:5140
CCTV5,http://222.209.208.234:7088/rtp/239.93.42.37:5140
CCTV5+,http://222.209.208.234:7088/rtp/239.93.1.36:8004
CCTV6,http://222.209.208.234:7088/rtp/239.93.42.38:5140
CCTV7,http://222.209.208.234:7088/rtp/239.93.1.67:5140
CCTV8,http://222.209.208.234:7088/rtp/239.93.42.39:5140
CCTV9,http://222.209.208.234:7088/rtp/239.93.1.24:5140
CCTV10,http://222.209.208.234:7088/rtp/239.93.1.28:5140
CCTV11,http://222.209.208.234:7088/rtp/239.93.0.102:5140
CCTV12,http://222.209.208.234:7088/rtp/239.93.1.30:8124
CCTV13,http://222.209.208.234:7088/rtp/239.93.0.66:5140
CCTV14,http://222.209.208.234:7088/rtp/239.93.1.29:6000
CCTV15,http://222.209.208.234:7088/rtp/239.93.0.103:5140
CCTV16,http://222.209.208.234:7088/rtp/239.93.42.54:5140
CCTV17,http://222.209.208.234:7088/rtp/239.93.0.92:5140
CCTV4K,http://222.209.208.234:7088/rtp/239.93.42.42:5140
CETV-1,http://222.209.208.234:7088/udp/239.93.1.111:5140
CETV-2,http://222.209.208.234:7088/udp/239.93.0.113:5140
CETV-4,http://222.209.208.234:7088/udp/239.93.0.50:5140
CETV-早期教育,http://222.209.208.234:7088/udp/239.93.0.117:5140
江苏卫视,http://222.209.208.234:7088/rtp/239.93.0.89:5140
广西卫视,http://222.209.208.234:7088/rtp/239.93.42.46:5140
四川卫视,http://222.209.208.234:7088/rtp/239.93.0.20:1235
湖南卫视,http://222.209.208.234:7088/rtp/239.93.0.88:5140
浙江卫视,http://222.209.208.234:7088/rtp/239.93.0.124:5140
东方卫视,http://222.209.208.234:7088/rtp/239.93.0.123:5140
北京卫视,http://222.209.208.234:7088/rtp/239.93.0.180:5140
天津卫视,http://222.209.208.234:7088/rtp/239.93.0.167:5140
辽宁卫视,http://222.209.208.234:7088/rtp/239.93.1.108:5140
安徽卫视,http://222.209.208.234:7088/rtp/239.93.1.106:5140
黑龙江卫视,http://222.209.208.234:7088/rtp/239.93.0.183:5140
广东卫视,http://222.209.208.234:7088/rtp/239.93.0.181:5140
深圳卫视,http://222.209.208.234:7088/rtp/239.93.0.182:5140
湖北卫视,http://222.209.208.234:7088/rtp/239.93.0.250:5140
吉林卫视,http://222.209.208.234:7088/rtp/239.93.0.248:5140
山东卫视,http://222.209.208.234:7088/rtp/239.93.0.168:5140
江西卫视,http://222.209.208.234:7088/rtp/239.93.0.134:5140
河南卫视,http://222.209.208.234:7088/rtp/239.93.42.45:5140
河北卫视,http://222.209.208.234:7088/rtp/239.93.0.132:5140
甘肃卫视,http://222.209.208.234:7088/rtp/239.93.0.81:5140
重庆卫视,http://222.209.208.234:7088/rtp/239.93.1.107:5140
东南卫视,http://222.209.208.234:7088/rtp/239.93.0.42:5140
云南卫视,http://222.209.208.234:7088/rtp/239.93.1.174:5140
贵州卫视,http://222.209.208.234:7088/rtp/239.93.0.131:5140
海南卫视,http://222.209.208.234:7088/rtp/239.93.0.80:5140
陕西卫视,http://222.209.208.234:7088/rtp/239.93.0.143:5140
山西卫视,http://222.209.208.234:7088/rtp/239.93.0.6:5140
内蒙古卫视,http://222.209.208.234:7088/rtp/239.93.0.8:5140
青海卫视,http://222.209.208.234:7088/rtp/239.93.0.192:5140
宁夏卫视,http://222.209.208.234:7088/rtp/239.93.0.247:5140
西藏卫视,http://222.209.208.234:7088/rtp/239.93.0.175:5140
新疆卫视,http://222.209.208.234:7088/rtp/239.93.0.194:5140
兵团卫视,http://222.209.208.234:7088/rtp/239.93.42.43:5140
厦门卫视,http://222.209.208.234:7088/rtp/239.93.42.57:5140
三沙卫视,http://222.209.208.234:7088/rtp/239.93.42.58:5140
延边卫视,http://222.209.208.234:7088/rtp/239.93.0.249:5140
CHC影迷电影,http://222.209.208.234:7088/udp/239.93.42.5:5140
CHC动作电影,http://222.209.208.234:7088/udp/239.93.42.7:5140
CHC家庭影院,http://222.209.208.234:7088/udp/239.93.42.6:5140
青春动漫,http://222.209.208.234:7088/rtp/239.93.0.146:5140
热门综艺,http://222.209.208.234:7088/rtp/239.93.0.151:5140
华语影院,http://222.209.208.234:7088/rtp/239.93.0.138:5140 
星光院线,http://222.209.208.234:7088/rtp/239.93.0.139:5140 
全球大片,http://222.209.208.234:7088/rtp/239.93.0.105:5140 
热门剧场,http://222.209.208.234:7088/rtp/239.93.0.140:5140 
谍战剧场,http://222.209.208.234:7088/rtp/239.93.0.95:5140 
爱怀旧高清,http://222.209.208.234:7088/rtp/239.93.42.21:5140
爱喜剧高清,http://222.209.208.234:7088/rtp/239.93.42.9:5140
爱奇谈高清,http://222.209.208.234:7088/rtp/239.93.42.22:5140
爱科幻高清,http://222.209.208.234:7088/rtp/239.93.42.10:5140
爱院线高清,http://222.209.208.234:7088/rtp/239.93.42.11:5140
爱谍战高清,http://222.209.208.234:7088/rtp/239.93.42.14:5140
爱经典高清,http://222.209.208.234:7088/rtp/239.93.42.13:5140
爱悬疑高清,http://222.209.208.234:7088/rtp/239.93.42.12:5140
爱青春高清,http://222.209.208.234:7088/rtp/239.93.42.16:5140
爱幼教高清,http://222.209.208.234:7088/rtp/239.93.42.17:5140
爱玩具高清,http://222.209.208.234:7088/rtp/239.93.42.18:5140
爱动漫高清,http://222.209.208.234:7088/rtp/239.93.42.23:5140
爱电竞高清,http://222.209.208.234:7088/rtp/239.93.42.19:5140
爱赛车高清,http://222.209.208.234:7088/rtp/239.93.42.20:5140


山东联通,#genre#
CCTV1,http://annaxi.lw-home.com:11111/udp/239.253.254.77:8000
CCTV2,http://annaxi.lw-home.com:11111/udp/239.253.254.232:8000
CCTV3,http://annaxi.lw-home.com:11111/udp/239.253.254.191:8000
CCTV4,http://annaxi.lw-home.com:11111/udp/239.253.254.187:8000
CCTV5,http://annaxi.lw-home.com:11111/udp/239.253.254.192:8000
CCTV5+,http://annaxi.lw-home.com:11111/udp/239.253.254.80:8000
