央视,#genre#
山东卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000527/index.m3u8?
北京卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000516/index.m3u8?
河南卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000027/index.m3u8?
湖北卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000522/index.m3u8?
湖南卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000523/index.m3u8?
江西卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000525/index.m3u8?
浙江卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000531/index.m3u8?
东南卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000519/index.m3u8?
厦门卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000058/index.m3u8?
广东卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000520/index.m3u8?
深圳卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000529/index.m3u8?
广西卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000034/index.m3u8?
云南卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000035/index.m3u8?
贵州卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000036/index.m3u8?
四川卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000025/index.m3u8?
新疆卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000045/index.m3u8?
海南卫视,http://[2409:8087:74d8:21::0a]/270000001128/9900000037/index.m3u8?


卫视2,#genre#
安徽卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226391/index.m3u8
兵团卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226439/index.m3u8
北京卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225728/index.m3u8
重庆卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226409/index.m3u8
东方卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225735/index.m3u8
东南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226341/index.m3u8
甘肃卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225633/index.m3u8
广东卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226248/index.m3u8
广西卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226380/index.m3u8
贵州卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226474/index.m3u8
河北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226406/index.m3u8
黑龙江卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226327/index.m3u8
河南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221226480/index.m3u8
湖北卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225627/index.m3u8
湖南卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225610/index.m3u8
江苏卫视,http://ottrrs.hl.chinamobile.com/PLTV/88888888/224/3221225613/index.m3u8
